Species,awn_category,hair_category,VT,plant_height,wind_speed,5-percentile,25-percentile,50-percentile,75-percentile,90-percentile,99-percentile
Andropogon_gerardi,geniculate,low,3.4,0.8,3.02,0.00361429,0.007376543,0.010106383,0.012820513,0.015431818,0.020333333
Andropogon_gerardi,geniculate,low,2.8,0.8,3.02,0.00504,0.010510638,0.014646018,0.018716814,0.02242029,0.031
Andropogon_gerardi,geniculate,low,3.4,0.8,6.71,0.0032,0.011214286,0.017618182,0.024363158,0.030381356,0.039617647
Andropogon_gerardi,geniculate,low,2.8,0.8,6.71,0.00519231,0.016034483,0.025135135,0.034873737,0.045125,0.069722222
Andropogon_gerardi,geniculate,low,3.4,2,3.02,0.02669811,0.052181818,0.069140127,0.086848739,0.103688525,0.13125
Andropogon_gerardi,geniculate,low,2.8,2,3.02,0.03925,0.073604651,0.097566372,0.126264368,0.147962963,0.192272727
Andropogon_gerardi,geniculate,low,3.4,2,6.71,0.00318182,0.089673913,0.150945946,0.224708738,0.289883721,0.398333333
Andropogon_gerardi,geniculate,low,2.8,2,6.71,-0.01805556,0.114351852,0.213345865,0.317125984,0.420614035,0.603571429
Andropogon_glomeratus,straight,high,0.58,0.75,2.21,0.01253968,0.055465839,0.087272727,0.121846154,0.153461538,0.216666667
Andropogon_glomeratus,straight,high,0.32,0.75,2.21,0.02231707,0.109710744,0.168652174,0.2343,0.298695652,0.402857143
Andropogon_glomeratus,straight,high,0.58,0.75,8.35,-0.00921053,0.113118812,0.212121212,0.321938776,0.428125,0.639285714
Andropogon_glomeratus,straight,high,0.32,0.75,8.35,-0.04859155,0.172962963,0.344805195,0.548387097,0.803846154,1.32
Andropogon_glomeratus,straight,high,0.58,1.5,2.21,0.11214286,0.259408602,0.378383459,0.479901961,0.575,0.8
Andropogon_glomeratus,straight,high,0.32,1.5,2.21,0.12692308,0.409047619,0.646330275,0.871505376,1.107894737,1.6
Andropogon_glomeratus,straight,high,0.58,1.5,8.35,-0.29423077,0.278823529,0.687823834,1.212857143,1.753636364,2.7
Andropogon_glomeratus,straight,high,0.32,1.5,8.35,-0.77928571,0.340198864,1.035135135,1.914402174,2.86097561,5.584166667
Andropogon_virginicus,straight,high,0.5,0.5,2.44,0.0096875,0.035357143,0.056276596,0.074921875,0.094206349,0.129444444
Andropogon_virginicus,straight,high,0.21,0.5,2.44,0.01086207,0.080337423,0.129,0.182317073,0.230555556,0.33375
Andropogon_virginicus,straight,high,0.5,0.5,6.21,-0.00448276,0.045855856,0.083082707,0.127234043,0.163571429,0.233333333
Andropogon_virginicus,straight,high,0.21,0.5,6.21,-0.0375,0.098140496,0.1875,0.287048193,0.410227273,0.6375
Andropogon_virginicus,straight,high,0.5,1,2.44,0.02285714,0.108157895,0.16906015,0.225652174,0.279324324,0.38625
