Species,specimen_identifier,individual_or_pop,number,mass,notes,date
Anatherum_glomeratum,TK192-1,TK192,1,0.0004185,,
Anatherum_glomeratum,TK192-2,TK192,2,0.0002603,,
Anatherum_glomeratum,TK192-3,TK192,3,0.0002624,,
Anatherum_glomeratum,TK192-4,TK192,4,0.0003248,,
Anatherum_glomeratum,TK192-5,TK192,5,0.0003434,,
Anatherum_glomeratum,TK192-6,TK192,6,0.0003261,,
Anatherum_glomeratum,TK192-7,TK192,7,0.0003784,,
Anatherum_glomeratum,TK192-8,TK192,8,0.000343,,
Anatherum_glomeratum,TK192-9,TK192,9,0.0003098,,
Anatherum_glomeratum,TK192-10,TK192,10,0.0003233,,
Anatherum_virginicum,AUB015-8AL-1,8AL,1,0.0003206,,5-Apr-21
Anatherum_virginicum,AUB015-8AL-2,8AL,2,0.0003355,,5-Apr-21
Anatherum_virginicum,AUB015-8AL-3,8AL,3,0.0003307,,5-Apr-21
Anatherum_virginicum,AUB015-8AL-4,8AL,4,0.0002532,,5-Apr-21
Anatherum_virginicum,AUB015-8AL-5,8AL,5,0.0003841,,5-Apr-21
Anatherum_virginicum,AUB015-8AL-6,8AL,6,0.0003083,,5-Apr-21
Anatherum_virginicum,AUB015-8AL-7,8AL,7,0.0004233,,5-Apr-21
Anatherum_virginicum,AUB015-8AL-8,8AL,8,0.000358,,5-Apr-21
Anatherum_virginicum,AUB015-8AL-9,8AL,9,0.0003882,,5-Apr-21
Anatherum_virginicum,AUB015-8AL-10,8AL,10,0.0003843,,5-Apr-21
Anatherum_virginicum,AUB015-8AL-11,8AL,11,0.0003728,,5-Apr-21
Anatherum_virginicum,AUB015-8AL-12,8AL,12,0.0003646,,5-Apr-21
Anatherum_virginicum,AUB015-8AL-13,8AL,13,0.0002929,,5-Apr-21
Anatherum_virginicum,AUB015-8AL-14,8AL,14,0.0003825,,5-Apr-21
Anatherum_virginicum,AUB015-8AL-15,8AL,15,0.0003852,,5-Apr-21
Anatherum_virginicum,AUB015-8AL-16,8AL,16,0.0002566,,5-Apr-21
Anatherum_virginicum,AUB015-8AL-17,8AL,17,0.0003658,,5-Apr-21
Anatherum_virginicum,AUB015-8AL-18,8AL,18,0.00033,,5-Apr-21
Anatherum_virginicum,AUB015-8AL-19,8AL,19,0.0004119,,5-Apr-21
Anatherum_virginicum,AUB015-8AL-20,8AL,20,0.0004074,,5-Apr-21
Anatherum_virginicum,Kellogg1287-MO7-4,MO10,4,0.0003865,,5-Apr-21
Anatherum_virginicum,Kellogg1287-MO7-5,MO11,5,0.0003755,,5-Apr-21
Anatherum_virginicum,Kellogg1287-MO7-6,MO12,6,0.0003364,,5-Apr-21
Anatherum_virginicum,Kellogg1287-MO7-7,MO13,7,0.0003907,,5-Apr-21
Anatherum_virginicum,Kellogg1287-MO7-8,MO14,8,0.0003921,,5-Apr-21
Anatherum_virginicum,Kellogg1287-MO7-9,MO15,9,0.0003714,,5-Apr-21
Anatherum_virginicum,Kellogg1287-MO7-10,MO16,10,0.0003761,,5-Apr-21
Anatherum_virginicum,Kellogg1287-MO7-11,MO17,11,0.0003713,,5-Apr-21
Anatherum_virginicum,Kellogg1287-MO7-12,MO18,12,0.0004189,,5-Apr-21
Anatherum_virginicum,Kellogg1287-MO7-13,MO19,13,0.000345,,5-Apr-21
Anatherum_virginicum,Kellogg1287-MO7-14,MO20,14,0.0003467,,5-Apr-21
Anatherum_virginicum,Kellogg1287-MO7-15,MO21,15,0.0003329,,5-Apr-21
Anatherum_virginicum,Kellogg1287-MO7-16,MO22,16,0.0003083,,5-Apr-21
Anatherum_virginicum,Kellogg1287-MO7-17,MO23,17,0.0002894,,5-Apr-21
Anatherum_virginicum,Kellogg1287-MO7-18,MO24,18,0.0002682,,5-Apr-21
Anatherum_virginicum,Kellogg1287-MO7-19,MO25,19,0.0003788,,5-Apr-21
Anatherum_virginicum,Kellogg1287-MO7-20,MO26,20,0.0003571,,5-Apr-21
Anatherum_virginicum,Kellogg1287-MO7-1,MO7,1,0.0002868,,5-Apr-21
Anatherum_virginicum,Kellogg1287-MO7-2,MO8,2,0.0003062,,5-Apr-21
Anatherum_virginicum,Kellogg1287-MO7-3,MO9,3,0.0003397,,5-Apr-21
Andropogon_burmanicus,Traiperm512-1,Traiperm 512,1,0.003695,,
Andropogon_burmanicus,Traiperm512-2,Traiperm 512,2,0.0034359,,
Andropogon_burmanicus,Traiperm512-3,Traiperm 512,3,0.0034445,,
Andropogon_burmanicus,Traiperm512-4,Traiperm 512,4,0.0035249,,
Andropogon_burmanicus,Traiperm512-5,Traiperm 512,5,0.003657,,
Andropogon_burmanicus,Traiperm512-6,Traiperm 512,6,0.0036889,,
Andropogon_gerardi,TP_LS-1,TP_LS,1,0.0050252,,6-Apr-22
Andropogon_gerardi,TP_LS-2,TP_LS,2,0.0058073,,6-Apr-22
Andropogon_gerardi,TP_LS-3,TP_LS,3,0.0051907,,6-Apr-22
Andropogon_gerardi,TP_LS-4,TP_LS,4,0.0042467,,6-Apr-22
Andropogon_gerardi,TP_LS-5,TP_LS,5,0.0058793,,6-Apr-22
Andropogon_gerardi,TP_LS-6,TP_LS,6,0.0043964,,6-Apr-22
Andropogon_gerardi,TP_LS-7,TP_LS,7,0.0044074,,6-Apr-22
Andropogon_gerardi,TP_LS-8,TP_LS,8,0.0052086,,6-Apr-22
Andropogon_gerardi,TP_LS-9,TP_LS,9,0.0043905,,6-Apr-22
Andropogon_gerardi,TP_LS-10,TP_LS,10,0.0047074,,6-Apr-22
Arthraxon_hispidus,IC5-Floyd-VA-1,IC5-Floyd-VA,1,0.0004526,,18-Aug-21
Arthraxon_hispidus,IC5-Floyd-VA-2,IC5-Floyd-VA,2,0.0004716,,18-Aug-21
Arthraxon_hispidus,IC5-Floyd-VA-3,IC5-Floyd-VA,3,0.0006158,,18-Aug-21
Arthraxon_hispidus,IC5-Floyd-VA-4,IC5-Floyd-VA,4,0.0004216,,18-Aug-21
Arthraxon_hispidus,IC5-Floyd-VA-5,IC5-Floyd-VA,5,0.0004173,,18-Aug-21
Arthraxon_hispidus,IC5-Floyd-VA-6,IC5-Floyd-VA,6,0.0005256,,18-Aug-21
Arthraxon_hispidus,IC5-Floyd-VA-7,IC5-Floyd-VA,7,0.0004698,,18-Aug-21
Arthraxon_hispidus,IC5-Floyd-VA-8,IC5-Floyd-VA,8,0.0005614,,18-Aug-21
Arthraxon_hispidus,IC5-Floyd-VA-9,IC5-Floyd-VA,9,0.0006658,,18-Aug-21
Arthraxon_hispidus,IC5-Floyd-VA-10,IC5-Floyd-VA,10,0.0004072,,18-Aug-21
Bothriochloa_laguroides,Aub84-2-1,2,1,0.0026033,,5-Apr-21
Bothriochloa_laguroides,Aub84-2-2,2,2,0.0029485,,5-Apr-21
Bothriochloa_laguroides,Aub84-2-3,2,3,0.0012764,,5-Apr-21
Bothriochloa_laguroides,Aub84-2-4,2,4,0.0027404,,5-Apr-21
Bothriochloa_laguroides,Aub84-2-5,2,5,0.0013818,,5-Apr-21
Bothriochloa_laguroides,Aub84-2-6,2,6,0.0012546,,5-Apr-21
Bothriochloa_laguroides,Aub84-2-7,2,7,0.0022181,,5-Apr-21
Bothriochloa_laguroides,Aub84-2-8,2,8,0.0027452,,5-Apr-21
Bothriochloa_laguroides,Aub84-2-9,2,9,0.0014544,,5-Apr-21
Bothriochloa_laguroides,Aub84-2-10,2,10,0.0014066,,5-Apr-21
Bothriochloa_laguroides,Aub84-2-11,2,11,0.0026007,,5-Apr-21
Bothriochloa_laguroides,Aub84-2-12,2,12,0.0026472,,5-Apr-21
Bothriochloa_laguroides,Aub84-2-13,2,13,0.0014672,,5-Apr-21
Bothriochloa_laguroides,Aub84-2-14,2,14,0.0021127,,5-Apr-21
Bothriochloa_laguroides,Aub84-2-15,2,15,0.002652,,5-Apr-21
Bothriochloa_laguroides,Aub84-2-16,2,16,0.0027871,,5-Apr-21
Bothriochloa_laguroides,Aub84-2-17,2,17,0.0025191,,5-Apr-21
Bothriochloa_laguroides,Aub84-2-18,2,18,0.002704,,5-Apr-21
Bothriochloa_laguroides,Aub84-2-19,2,19,0.0029453,,5-Apr-21
Bothriochloa_laguroides,Aub84-2-20,2,20,0.0025586,,5-Apr-21
Bothriochloa_laguroides,empty-1,empty,1,0.0022715,,18-Aug-21
Bothriochloa_laguroides,empty-2,empty,2,0.002912,,18-Aug-21
Bothriochloa_laguroides,empty-3,empty,3,0.0030218,,18-Aug-21
Bothriochloa_laguroides,empty-4,empty,4,0.003929,,18-Aug-21
Bothriochloa_laguroides,empty-5,empty,5,0.001847,,18-Aug-21
Bothriochloa_laguroides,empty-6,empty,6,0.0031596,,18-Aug-21
Bothriochloa_laguroides,empty-7,empty,7,0.0030392,,18-Aug-21
Bothriochloa_laguroides,empty-8,empty,8,0.0027302,,18-Aug-21
Bothriochloa_laguroides,empty-9,empty,9,0.0022448,,18-Aug-21
Bothriochloa_laguroides,empty-10,empty,10,0.0025224,,18-Aug-21
