Individual,seed,Vmean,Vstd,Amean,Astd,M,Cd,Cd_error,Re,Re_error
AUB014_5_AL,1,2.185428207,0.186839723,1.07E-05,4.44E-06,2.72E-06,0.863354121,0.386899566,504.3559854,58.07555951
AUB014_5_AL,2,2.648065422,0.074355885,9.21E-06,2.69E-06,2.66E-06,0.666625371,0.198003449,566.8672411,50.22959671
AUB014_5_AL,3,1.701469685,0.070477972,7.90E-06,2.96E-06,2.35E-06,1.665156405,0.639846309,337.2846998,35.90790738
AUB014_5_AL,4,1.822557112,0.081816422,8.61E-06,2.25E-06,2.59E-06,1.465947141,0.404887372,377.2223135,31.10352703
AUB014_5_AL,5,1.701058288,0.038199962,1.06E-05,3.28E-06,2.47E-06,1.311071788,0.411912277,389.7157849,36.09446108
AUB014_5_AL,6,2.474817944,0.029088423,6.90E-06,1.95E-06,2.38E-06,0.913084067,0.259275931,458.4752175,39.80995152
AUB014_5_AL,7,1.535627119,0.026572118,6.67E-06,1.66E-06,2.25E-06,2.323553013,0.585470619,279.6193873,22.41845646
AUB014_5_AL,8,2.469212619,0.042185262,9.52E-06,1.83E-06,2.80E-06,0.78324249,0.153350179,537.2047297,37.44131149
AUB014_5_AL,9,1.948692918,0.034019961,8.00E-06,1.87E-06,2.45E-06,1.307526301,0.309886867,388.6600798,30.0280768
AUB014_5_AL,10,1.754400088,0.029263445,7.13E-06,1.97E-06,2.51E-06,1.856801543,0.517858823,330.3802169,28.27928888
AUB014_5_AL,11,1.558098563,0.048161551,8.86E-06,2.78E-06,2.52E-06,1.89768582,0.606996838,327.1528548,30.49785617
AUB014_5_AL,12,1.884313007,0.042760291,6.73E-06,1.72E-06,1.82E-06,1.235902966,0.320377329,344.7674166,28.02148331
AUB014_5_AL,13,2.234435979,0.123363399,7.92E-06,2.12E-06,2.41E-06,0.987581977,0.286448343,443.4478709,37.18298776
AUB014_5_AL,14,2.57468308,0.049348995,6.98E-06,1.62E-06,2.32E-06,0.812363151,0.191630317,479.6524386,36.90747387
AUB014_5_AL,15,1.871259214,0.740332126,7.85E-05,0.00010969,2.48E-06,0.146428839,0.235206612,1169.009986,412.7500107
AUB014_5_AL,16,1.71345836,0.072986823,8.63E-06,3.14E-06,2.60E-06,1.666638996,0.622910988,354.9427051,36.90693362
AUB015_8AL,1,0.256524021,0.014266536,1.91E-06,8.79E-07,3.21E-07,41.35684124,19.5714058,25.00345199,3.631825858
AUB015_8AL,2,0.337969753,0.019806543,1.95E-06,1.34E-06,3.36E-07,24.42295302,17.00426994,33.28427245,6.429401616
AUB015_8AL,3,0.293416088,0.033310088,1.32E-06,5.10E-07,3.31E-07,47.11602283,21.10565078,23.79165638,3.119711999
AUB015_8AL,4,0.311596863,0.030078155,1.59E-06,4.88E-07,2.53E-07,26.55263526,9.623207316,27.73128082,3.252332334
AUB015_8AL,5,0.33291494,0.015547542,1.36E-06,3.08E-07,3.84E-07,41.22522355,10.07514733,27.4114833,2.883109384
AUB015_8AL,6,0.372257557,0.036883945,2.42E-06,1.57E-06,3.08E-07,14.89987846,10.07498197,40.84955148,7.531916386
AUB015_8AL,7,0.411231634,0.024475597,2.05E-06,8.28E-07,4.23E-07,19.79042895,8.333448965,41.53253345,5.58319839
AUB015_8AL,8,0.338639854,0.034685648,1.63E-06,3.56E-07,3.58E-07,31.10303327,9.320109492,30.46716425,3.175616463
AUB015_8AL,9,0.384535966,0.070275185,2.67E-06,1.24E-06,3.88E-07,15.95100054,9.452828195,44.30224084,6.492180202
AUB015_8AL,10,0.495704243,0.039254975,1.96E-06,8.58E-07,3.84E-07,12.94840142,6.034369804,48.92366771,6.898271864
AUB015_8AL,11,0.365597413,0.039546848,1.99E-06,5.15E-07,3.73E-07,22.67830273,7.641524121,36.41032627,3.99614468
AUB015_8AL,12,0.341539555,0.027821361,1.98E-06,8.05E-07,3.65E-07,25.63970248,11.24807551,33.86442723,4.574137114
AUB015_8AL,13,0.292726847,0.016305751,1.44E-06,3.75E-07,2.93E-07,38.53295908,10.92093645,24.75913103,2.725700124
AUB015_8AL,14,0.374106516,0.025307207,1.66E-06,5.01E-07,3.83E-07,26.68783176,8.83149051,33.99781194,3.961147774
AUB015_8AL,15,0.396991383,0.030875365,3.23E-06,1.63E-06,3.85E-07,12.26968592,6.48113179,50.31741357,7.762823222
AUB015_8AL,16,0.366977671,0.032703868,1.74E-06,3.80E-07,2.57E-07,17.77774778,5.015389369,34.11786519,3.556082523
AUB015_8AL,17,0.350952409,0.038179749,1.51E-06,3.60E-07,3.66E-07,31.88848111,10.29524834,30.41563072,3.251866903
AUB015_8AL,18,0.363069356,0.037292337,1.86E-06,7.72E-07,3.30E-07,21.78244509,10.07189332,34.95389272,4.767056713
AUB015_8AL,19,0.333512439,0.035376656,2.63E-06,1.05E-06,4.12E-07,22.81087065,10.33401651,38.16074617,5.104029762
AUB015_8AL,20,0.378975413,0.026373576,2.90E-06,1.64E-06,4.07E-07,15.84872668,9.214428408,45.53079332,7.590221068
AUB78TX1,1,0.896869507,0.022037056,7.12E-12,1.42E-12,8.89E-07,2515821.927,515995.0258,0.168773827,0.012407306
AUB78TX1,2,1.333883314,0.048182594,2.44E-12,3.88E-13,7.94E-07,2962458.528,516799.5617,0.147010601,0.009863979
AUB78TX1,3,1.1374391,0.040524564,2.82E-12,7.68E-13,9.30E-07,4139677.848,1166391.966,0.13460156,0.011711574
AUB78TX1,4,1.450884811,0.061954097,2.16E-12,4.60E-13,8.00E-07,2853073.953,654742.047,0.15035784,0.011413178
AUB78TX1,5,1.351616192,0.052124918,2.61E-12,7.07E-13,8.49E-07,2893714.378,816197.8589,0.153848981,0.013347398
AUB78TX1,6,1.04016374,0.051851637,3.14E-06,7.84E-07,9.55E-07,4.554559597,1.223097064,130.0380308,10.73279109
AUB78TX1,8,0.94965774,0.06300264,2.52E-06,7.00E-07,8.13E-07,5.802393274,1.786368306,106.3066158,9.358451372
AUB78TX1,9,1.229431772,0.267751922,2.30E-06,5.92E-07,8.34E-07,3.890770207,1.968963664,131.447689,11.05618177
AUB78TX1,10,0.934874089,0.034846206,2.05E-06,2.85E-07,8.37E-07,7.566644114,1.193581122,94.46714378,6.073885846
AUB78TX1,11,1.26670805,0.072376542,3.27E-06,5.21E-07,9.93E-07,3.072256791,0.602794903,161.4336331,10.8485912
AUB78TX1,12,1.327319949,0.077446053,2.50E-06,5.34E-07,8.95E-07,3.295879847,0.802585457,147.9519367,11.24939347
AUB78TX1,13,1.236741588,0.021839754,3.01E-06,3.73E-07,1.03E-06,3.612274246,0.465286722,151.354863,9.434119383
AUB78TX1,14,1.078651442,0.04414258,2.24E-06,4.00E-07,7.89E-07,4.907245259,0.962622,113.8777906,7.981598749
AUB78TX1,15,1.695323088,0.053386747,3.91E-06,1.10E-06,1.18E-06,1.697654541,0.489274015,236.4286542,20.9738673
AUB78TX1,16,0.980564025,0.027080595,2.81E-06,2.53E-07,8.64E-07,5.189851151,0.548835567,115.8633761,6.790087831
AUB78TX1,17,1.120978852,0.089216979,1.79E-06,1.86E-07,8.03E-07,5.778442292,1.098589477,105.8564272,6.352852481
AUB78TX1,18,0.99658943,0.045620717,1.69E-06,2.03E-07,8.09E-07,7.825282406,1.183301362,91.33210835,5.653319088
AUB78TX1,19,0.924483773,0.049994416,2.43E-06,3.43E-07,4.77E-07,3.716002353,0.660274324,101.7236714,6.567512899
AUB78TX1,20,1.093684949,0.075741342,2.79E-06,4.23E-07,9.03E-07,4.392345871,0.902324821,128.7476773,8.50591813
AUB84_2,1,1.282972926,0.065948621,1.01E-05,1.88E-06,2.60E-06,2.550815127,0.544085774,286.8894054,19.49266572
AUB84_2,2,1.466018497,0.07361941,1.30E-05,4.04E-06,2.95E-06,1.710851054,0.558931822,372.8089743,34.31834784
AUB84_2,3,0.873868472,0.064741047,1.20E-05,1.76E-06,1.28E-06,2.252695702,0.469658277,213.7637333,13.13919303
AUB84_2,4,1.460169408,0.033780264,8.37E-06,1.11E-06,2.74E-06,2.490122797,0.350600319,297.9123383,17.72196614
AUB84_2,5,0.947346817,0.056614408,1.23E-05,2.66E-06,1.38E-06,2.027925993,0.500172015,234.4166398,17.13443973
AUB84_2,6,0.94761643,0.117255627,1.92E-05,6.67E-06,1.25E-06,1.180536183,0.503588947,292.755379,29.24445811
AUB84_2,7,1.082507529,0.046075921,2.43E-05,7.39E-06,2.22E-06,1.261102355,0.397630555,376.6233878,34.09255359
AUB84_2,8,1.728905724,0.129610743,1.03E-05,2.21E-06,2.75E-06,1.44051124,0.375962956,392.0311373,28.50221361
AUB84_2,9,0.896088423,0.055551768,2.55E-05,8.52E-06,1.45E-06,1.153569906,0.411888357,318.8686823,30.98245652
AUB84_2,10,0.870715934,0.051150823,1.70E-05,4.77E-06,1.41E-06,1.77232896,0.540025529,252.9909773,21.72388154
AUB84_2,11,1.54889239,0.055207108,1.20E-05,2.74E-06,2.60E-06,1.470352362,0.353257357,377.6820199,28.57322257
AUB84_2,12,1.219907948,0.053178789,1.43E-05,6.89E-06,2.65E-06,2.01657995,0.987026868,325.3700302,42.33739748
AUB84_2,13,1.158570477,0.064200897,1.90E-05,6.00E-06,1.47E-06,0.934915315,0.31357808,355.7545107,33.17691277
AUB84_2,14,1.289333366,0.070211856,6.95E-06,1.25E-06,2.11E-06,2.963588736,0.62128642,239.7738637,15.97511706
AUB84_2,15,1.445364682,0.046508033,1.12E-05,2.04E-06,2.65E-06,1.829888817,0.351535203,341.8741795,22.88587156
AUB84_2,16,1.592971219,0.067362366,1.22E-05,3.94E-06,2.79E-06,1.454893996,0.484082124,393.0542466,37.09251306
AUB84_2,17,1.306339313,0.071093578,1.40E-05,4.03E-06,2.52E-06,1.714765603,0.528934441,344.2010694,30.08519405
AUB84_2,18,1.143807832,0.042558862,1.04E-05,1.94E-06,2.70E-06,3.221116873,0.647141139,260.1908353,17.66643395
AUB84_2,19,1.320200179,0.03763248,8.59E-06,1.28E-06,2.95E-06,3.189163417,0.509130189,272.9092619,16.87475007
AUB84_2,20,1.069196209,0.044634117,1.25E-05,3.60E-06,2.56E-06,2.908741074,0.874472575,266.3425534,23.29052131
Andglotk,1,0.563336911,0.064931973,2.59E-06,3.50E-07,4.19E-07,8.347293828,2.231606652,68.14858451,8.186705349
